Stacje	Miejscowoœæ (lokalizacja)	Zakres œredniej dziennej mocy dawki [nSv/h]	Œrednia [nSv/h]
PMS	Babiki	81-89	84
PMS	Bartniki	81-88	83
PMS	Bia³ystok	69-79	72
PMS	Bielsko-Bia³a	87-98	90
PMS	Che³m	55-63	59
PMS	Czerniczyn	83-91	86
PMS	Gdynia	102-111	105
PMS	Go³dap	67-76	70
PMS	Kalisz	63-75	65
PMS	Katowice	85-95	87
PMS	Kielce	87-98	90
PMS	Koszalin	80-92	83
PMS	Kraków	115-122	118
PMS	Krasiczyn	77-87	81
PMS	Krzywe	83-94	87
PMS	Legnica	72-81	76
PMS	£ódŸ	87-99	89
PMS	Lublin	99-106	103
PMS	Machnów Nowy	59-69	63
PMS	Olsztyn	55-72	58
PMS	Opole	63-78	66
PMS	Radom	57-66	59
PMS	Rzeszów	87-94	90
PMS	Sanok	86-99	91
PMS	Seimianówka	51-61	54
PMS	Siemiatycze	61-75	64
PMS	Stare Sio³o	62-74	66
PMS	Szczecin	51-59	54
PMS	Tarnów	77-87	81
PMS	Toruñ	48-67	52
PMS	Warszawa	89-97	91
PMS	W³odawa	56-65	59
PMS	Wólka Dobryñska	62-75	66
PMS	Wroc³aw	73-86	76
PMS	Zielona Góra	85-91	88
IMiGW	Gdynia	80-87	82
IMiGW	Gorzów	82-87	84
IMiGW	Legnica	84-92	88
IMiGW	Lesko	94-105	98
IMiGW	Miko³ajki	86-95	89
IMiGW	Œwinoujœcie	67-74	70
IMiGW	Warszawa	65-80	68
IMiGW	W³odawa	63-72	66
IMiGW	Zakopane	100-108	104
